,specimenID,libraryID,assay,platform,referenceSet,transposaseBatch,libraryBatch,libraryPreparationMethod,sampleBarcode,chromiumSampleIndex,pcrCycles,sequencingBatch,isStranded,readStrandOrigin,readLength,runType,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2
122,M2AT_220221_211_A01,L8AT_220223_01_B01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030106,L8AT_220223_01,10x,,SI-NA-B1,,ATX-570,False,forward,50bp,pairedEnd,,,0.9388,0.9348
123,M2AT_220222_207_C01,L8AT_220223_01_G01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030806,L8AT_220223_01,10x,,SI-NA-G1,,ATX-572,False,forward,50bp,pairedEnd,,,0.9667,0.9571
124,M2AT_220228_216_B01,L8AT_220302_01_G04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030806,L8AT_220302_01,10x,,SI-NA-G4,,ATX-572,False,forward,50bp,pairedEnd,,,0.9665,0.9541
125,M2AT_220228_216_A01,L8AT_220302_01_F04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030806,L8AT_220302_01,10x,,SI-NA-F4,,ATX-572,False,forward,50bp,pairedEnd,,,0.9644,0.9598
126,M2AT_220307_207_C01,L8AT_220309_01_F08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22031508,L8AT_220309_01,10x,,SI-NA-F8,,ATX-575,False,forward,50bp,pairedEnd,,,0.956,0.9495
127,M2AT_220307_207_A01,L8AT_220309_01_D08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22031508,L8AT_220309_01,10x,,SI-NA-D8,,ATX-575,False,forward,50bp,pairedEnd,,,0.9548,0.9503
128,M2AT_220307_207_B01,L8AT_220309_01_E08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22031508,L8AT_220309_01,10x,,SI-NA-E8,,ATX-575,False,forward,50bp,pairedEnd,,,0.9531,0.9491
129,M2AT_220302_221_A01,L8AT_220309_01_A08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22031508,L8AT_220309_01,10x,,SI-NA-A8,,ATX-575,False,forward,50bp,pairedEnd,,,0.9527,0.951
130,M2AT_220302_221_B01,L8AT_220309_01_B08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22031508,L8AT_220309_01,10x,,SI-NA-B8,,ATX-575,False,forward,50bp,pairedEnd,,,0.9523,0.9477
131,M2AT_220302_221_C01,L8AT_220309_01_C08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22031508,L8AT_220309_01,10x,,SI-NA-C8,,ATX-575,False,forward,50bp,pairedEnd,,,0.9531,0.951
132,M2AT_220315_216_A01,L8AT_220316_01_A11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22032205,L8AT_220316_01,10x,,SI-NA-A11,,ATX-576,False,forward,50bp,pairedEnd,,,0.9543,0.9544
133,M2AT_220315_216_C01,L8AT_220316_01_D11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22032205,L8AT_220316_01,10x,,SI-NA-D11,,ATX-576,False,forward,50bp,pairedEnd,,,0.9543,0.9548
134,M2AT_220315_216_B01,L8AT_220316_01_B11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22032906,L8AT_220316_01,10x,,SI-NA-B11,,ATX-578,False,forward,50bp,pairedEnd,,,0.96,0.9599
135,M2AT_220321_211_A01,L8AT_220323_01_H01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22032906,L8AT_220323_01,10x,,SI-NA-H1,,ATX-578,False,forward,50bp,pairedEnd,,,0.9607,0.959
136,M2AT_220315_216_D01,L8AT_220316_01_C11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22032906,L8AT_220316_01,10x,,SI-NA-C11,,ATX-578,False,forward,50bp,pairedEnd,,,0.9588,0.9599
137,M2AT_220328_221_D01,L8AT_220330_01_G04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040505,L8AT_220330_01,10x,,SI-NA-G4,,ATX-580,False,forward,50bp,pairedEnd,,,0.9642,0.9606
138,M2AT_220404_206_B01,L8AT_220406_01_A08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22041205,L8AT_220406_01,10x,,SI-NA-A8,,ATX-582,False,forward,50bp,pairedEnd,,,0.9607,0.9573
139,M2AT_220404_206_A01,L8AT_220406_01_H07,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22041205,L8AT_220406_01,10x,,SI-NA-H7,,ATX-582,False,forward,50bp,pairedEnd,,,0.9624,0.9541
140,M2AT_220404_206_C01,L8AT_220406_01_B08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22041908,L8AT_220406_01,10x,,SI-NA-B8,,ATX-585,False,forward,50bp,pairedEnd,,,0.9609,0.9591
141,M2AT_220404_206_D01,L8AT_220406_01_C08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22041908,L8AT_220406_01,10x,,SI-NA-C8,,ATX-585,False,forward,50bp,pairedEnd,,,0.9623,0.9636
142,M2AT_220826_211_A01,L8AT_220830_01_E06,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22090703,L8AT_220830_01,10x,,SI-NA-E6,,ATX-611,False,forward,50bp,pairedEnd,,,0.9603,0.9467
143,M2AT_220826_211_B01,L8AT_220830_01_F06,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22090703,L8AT_220830_01,10x,,SI-NA-F6,,ATX-611,False,forward,50bp,pairedEnd,,,0.9609,0.9481
144,M2AT_221028_221_A01,L8AT_221103_03_E11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-E11,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9317,0.9163
145,M2AT_221102_221_C01,L8AT_221103_03_E12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-E12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9339,0.916
146,M2AT_221102_221_D01,L8AT_221103_03_F12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-F12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9339,0.9128
147,M2AT_221028_221_B01,L8AT_221103_03_F11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-F11,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9332,0.9114
148,M2AT_221028_221_C01,L8AT_221103_03_G12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-G12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9343,0.9177
149,M1AT_221101_226_A01,L8AT_221103_03_G11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-G11,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9323,0.9105
150,M1AT_221101_226_B01,L8AT_221103_03_H11,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-H11,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9342,0.9186
