,specimenID,libraryID,assay,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,referenceSet,transposaseBatch,chromiumSampleIndex,pcrCycles,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2,specimen_suffix
127,1346_A01,L8XR_220721_02_D12,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.75,A8XR_220719_01,L8XR_220721_02,MTX-2096,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1856525199,1756644143,5453,4921.0,20354.0,GRCh38,R8XR-22072603,SI-TT-D12_i7,,,,0.9076,0.9103,-L8XR_220721_02_D12-1196254082
128,1347_A02,L8XR_220728_01_H03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.1,A8XR_220726_01,L8XR_220728_01,MTX-2097,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1080697087,1036496576,8422,6465.5,31700.0,GRCh38,R8XR-22080202,SI-TT-H3_i7,,,,0.9575,0.9481,-L8XR_220728_01_H03-1197852121
129,1347_B02,L8XR_220728_88_C04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.07,A8XR_220726_01,L8XR_220728_88,MTX-2097,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1583635149,1519022835,5335,5273.0,22746.0,GRCh38,R8XR-22080202,SI-TT-C4_i7,,,,0.9593,0.9496,-L8XR_220728_88_C04-1197852122
130,1361_B01,L8XR_220804_01_F03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.65,A8XR_220802_01,L8XR_220804_01,MTX-2099,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1358914443,1266100587,10682,4841.0,17957.5,GRCh38,R8XR-22081602,SI-TT-F3_i7,,,,0.9306,0.916,-L8XR_220804_01_F03-1200343601
131,1362_B02,L8XR_220811_02_C08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_220809_01,L8XR_220811_02,MTX-2099,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,750573158,700509928,9792,4456.0,15155.0,GRCh38,R8XR-22081602,SI-TT-C8_i7,,,,0.933,0.9208,-L8XR_220811_02_C08-1200343603
132,1365_A04,L8XR_220811_02_F08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.85,A8XR_220809_01,L8XR_220811_02,MTX-2100,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1024501362,964363132,9869,4485.0,15169.0,GRCh38,R8XR-22082302,SI-TT-F8_i7,,,,0.9454,0.9293,-L8XR_220811_02_F08-1206599318
133,1365_B04,L8XR_220811_02_G08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.87,A8XR_220809_01,L8XR_220811_02,MTX-2100,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1189286993,1119475847,5918,4636.0,17331.0,GRCh38,R8XR-22082302,SI-TT-G8_i7,,,,0.9462,0.9353,-L8XR_220811_02_G08-1206599322
134,1380_A02,L8XR_220818_02_H10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_220816_02,L8XR_220818_02,MTX-2101,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1558279485,1490494327,9429,6298.0,31795.0,GRCh38,R8XR-22082303,SI-TT-H10_i7,,,,0.9478,0.9385,-L8XR_220818_02_H10-1202603548
135,1380_B02,L8XR_220818_02_H09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.6,A8XR_220816_02,L8XR_220818_02,MTX-2101,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1257339775,1201262421,9231,5923.0,28262.0,GRCh38,R8XR-22082303,SI-TT-H9_i7,,,,0.9504,0.9377,-L8XR_220818_02_H09-1202603549
136,1403_B08,L8XR_220908_02_D08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.18,A8XR_220906_02,L8XR_220908_02,MTX-2105,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1120402681,1058892574,9845,5156.0,20141.0,GRCh38,R8XR-22091302,SI-TT-D8_i7,,,,0.9564,0.9457,-L8XR_220908_02_D08-1212705194
